Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Type,Item,Quantity
"0xeeef29b50c20077840a082a6360add1fe1b92b85923dadd89854dfd74f1e6850","Success","Stake","226963234","2024-06-29 13:40:22","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x907D419907af3817e29B3808D479B232b8565388","","ERC-721","NFT: Anima Chamber","1"
"0xc00ad5c4507dd2a74f588db110e32459b2c90f1c67528d6646a1ffa9910500ae","Success","Claim Batch","226963233","2024-06-29 13:40:22","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x086b218982f8EC05DF00d741C1d6fA2C2F07b22f","","ERC-721","NFT: Galxe OAT","1"
"0xc00ad5c4507dd2a74f588db110e32459b2c90f1c67528d6646a1ffa9910500ae","Success","Claim Batch","226963233","2024-06-29 13:40:22","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x086b218982f8EC05DF00d741C1d6fA2C2F07b22f","","ERC-721","NFT: Galxe OAT","1"
"0x2669a42a6df4724520a65787d34f97f76e89ba012f9bec6ba42e9b2a935119c1","Success","Mint","226963230","2024-06-29 13:40:21","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x590f6Aa00FC184E008349A5697Bb8B068115D6DE","","ERC-721","Uniswap V3 Positions NFT-V1","1"
"0x5f295e3068a68c96e123d02305b5e887dbe32a9d5cc0de48a98c639678e25b13","Success","Mint Infinity Cube","226963229","2024-06-29 13:40:21","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xC3C65C31276a8e019d4f892d916D809733Dba421","","ERC-721","NFT: Layer3 Infinity CUBE","1"
"0xf69035ac5496926509387cb35096bd38862e90f6de5ef17d715c6b863d43dbf3","Success","Claim Batch","226963222","2024-06-29 13:40:19","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x4B45d62C0094aF4e4D10a5c366433648EA709995","","ERC-721","NFT: Galxe - Develocity Box","1"
"0xf69035ac5496926509387cb35096bd38862e90f6de5ef17d715c6b863d43dbf3","Success","Claim Batch","226963222","2024-06-29 13:40:19","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x4B45d62C0094aF4e4D10a5c366433648EA709995","","ERC-721","NFT: Galxe - Develocity Box","1"
"0xf69035ac5496926509387cb35096bd38862e90f6de5ef17d715c6b863d43dbf3","Success","Claim Batch","226963222","2024-06-29 13:40:19","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x4B45d62C0094aF4e4D10a5c366433648EA709995","","ERC-721","NFT: Galxe - Develocity Box","1"
"0xc2348dd19f2a676e331ab104e2d9f0f224712217e989cd0e7c2a2ef7c7e87fe3","Success","Claim Capped","226963222","2024-06-29 13:40:19","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x986a1C587b4bb1F7b97F89ed75783F63eEA2c528","","ERC-721","NFT: Galxe OAT","1"
"0xa8544f95923ef9b3c1896587028f53c37c391abb2ac9df04c789da8a957a42ed","Success","Claim Batch","226963219","2024-06-29 13:40:19","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x5871f6E44e8c55e491989E8b02b30D07fe644aCC","","ERC-721","NFT: Galxe - Develocity Box","1"
"0xa8544f95923ef9b3c1896587028f53c37c391abb2ac9df04c789da8a957a42ed","Success","Claim Batch","226963219","2024-06-29 13:40:19","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x5871f6E44e8c55e491989E8b02b30D07fe644aCC","","ERC-721","NFT: Galxe - Develocity Box","1"
"0xa8544f95923ef9b3c1896587028f53c37c391abb2ac9df04c789da8a957a42ed","Success","Claim Batch","226963219","2024-06-29 13:40:19","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x5871f6E44e8c55e491989E8b02b30D07fe644aCC","","ERC-721","NFT: Galxe - Develocity Box","1"
"0xb923baa3324daa3daaaff2dbf559f377f659461eb2327f456fcf960eaca725c4","Success","Mint NFT Claim","226963218","2024-06-29 13:40:18","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x618D41CD93bA42F3F54325C192103Ef111f60cDF","","ERC-721","NFT: Tabi Trooper MBADGE","1"
"0xc9c9cc1feb5edda27507c2f001954b3a8cd18bb900ea805e37fcd26f8760d614","Success","Handle Ops","226963214","2024-06-29 13:40:17","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x7e2b3C87dad191082f78a1B9e0C41B05F54faF87","","ERC-1155","Zeeverse: Items","1"
"0xc9c9cc1feb5edda27507c2f001954b3a8cd18bb900ea805e37fcd26f8760d614","Success","Handle Ops","226963214","2024-06-29 13:40:17","0x7e2b3C87dad191082f78a1B9e0C41B05F54faF87","","0x000000000000000000000000000000000000dEaD","Null: 0x000...dEaD","ERC-1155","Zeeverse: Items","1"
"0xa1c27cb620834b095ba5ffd4794b7e6b30d3ea3b617bab93acedba4b51ef102b","Success","Mint","226963213","2024-06-29 13:40:17","0xEC90c391435742d69066F5401822f09A983E9A40","","0x7E8FF88E585B0eB5873730fd8CFf54AF149882D0","","ERC-721","NFT: Digital Verification","1"
"0xa1c27cb620834b095ba5ffd4794b7e6b30d3ea3b617bab93acedba4b51ef102b","Success","Mint","226963213","2024-06-29 13:40:17","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xEC90c391435742d69066F5401822f09A983E9A40","","ERC-721","NFT: Digital Verification","1"
"0x6c4e82a2478d7c25e21158e06eb6fe2fadb079785224551e285022203e32a121","Success","Mint","226963212","2024-06-29 13:40:17","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x590f6Aa00FC184E008349A5697Bb8B068115D6DE","","ERC-721","Uniswap V3 Positions NFT-V1","1"
